Oceans,Regions,Measurement
Pacific Ocean,,2.738058
Pacific Ocean,,0.168787
Atlantic Ocean,,0.035328
Atlantic Ocean,Mediterranean Sea,0.208511
Atlantic Ocean,,0.02376
Atlantic Ocean,,0.463599
Atlantic Ocean,,30
Atlantic Ocean,Mediterranean Sea,1.163257
Atlantic Ocean,Mediterranean Sea,0.33955
Atlantic Ocean,Mediterranean Sea,1.219333
Atlantic Ocean,,0.001964
Atlantic Ocean,,0.00432
Atlantic Ocean,,0.01512
Atlantic Ocean,,0.01728
Atlantic Ocean,,0.014556
Pacific Ocean,,0.705246
Atlantic Ocean,,0.120048
Atlantic Ocean,,0.00216
Atlantic Ocean,,0.048284
Atlantic Ocean,,0.01512
Atlantic Ocean,,0.283176
Atlantic Ocean,,0.069116
Atlantic Ocean,,0.030236
Atlantic Ocean,,0.011996
Atlantic Ocean,,0.00216
Atlantic Ocean,,0.021608
Atlantic Ocean,Caribbean Sea,0.005
Pacific Ocean,,0.00216
Atlantic Ocean,,0.244752
Atlantic Ocean,,0.003928
Atlantic Ocean,Gulf of Mexico,1410.437236
Atlantic Ocean,Caribbean Sea,0.005036
Atlantic Ocean,,0.064796
Pacific Ocean,,0.001
Atlantic Ocean,Caribbean Sea,0.00864
Atlantic Ocean,Caribbean Sea,0.0108
Atlantic Ocean,Caribbean Sea,0.01
Atlantic Ocean,Caribbean Sea,0.00432
Atlantic Ocean,North Sea,0.021019
Atlantic Ocean,North Sea,0.008418
Atlantic Ocean,,24.570025
Atlantic Ocean,Irish Sea and St. George's Channel,0.111926
Atlantic Ocean,Mediterranean Sea,0.263478
Atlantic Ocean,Mediterranean Sea,3.133609
Pacific Ocean,,0.01296
Atlantic Ocean,,0.00648
Atlantic Ocean,Mediterranean Sea,0.213434
Atlantic Ocean,Mediterranean Sea,0.080207
Atlantic Ocean,,0.0216
Atlantic Ocean,,0.047276
Atlantic Ocean,Mediterranean Sea,2.943333
Atlantic Ocean,,0.794816
Atlantic Ocean,,22400
Pacific Ocean,,4.954054
Pacific Ocean,,5.524371
Atlantic Ocean,,0.055279
Atlantic Ocean,,0.041036
Atlantic Ocean,,0.025916
Atlantic Ocean,,0.058624
Atlantic Ocean,,0.00864
Atlantic Ocean,Gulf of Mexico,705.218618
Atlantic Ocean,,0.200864
Atlantic Ocean,Gulf of Mexico,4000
Pacific Ocean,,0.027
Pacific Ocean,,0.041396
Pacific Ocean,,0.0024
Pacific Ocean,,2820.874471
Atlantic Ocean,Caribbean Sea,0.00216
Atlantic Ocean,,0.002
Atlantic Ocean,Caribbean Sea,0.003
Atlantic Ocean,Caribbean Sea,0.0108
Atlantic Ocean,,0.081
